N,S_valid,S_equal,S_fail,S_undefined,S_rate_valid,S_rate_all,S_smallest_equal,S_smallest_counterexample,R4_fixed_inputs,S_fixed_inputs,both_fixed,S_universal,T_valid,T_equal,T_fail,T_undefined,T_rate_valid,T_rate_all,T_smallest_equal,T_smallest_counterexample,R4_fixed_inputs_T,T_fixed_inputs,both_fixed_T,T_universal
59,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
60,10000,8,9992,0,0.0008000000,0.0008000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
61,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
62,10000,6,9994,0,0.0006000000,0.0006000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
63,10000,25,9975,0,0.0025000000,0.0025000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
64,10000,13,9987,0,0.0013000000,0.0013000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
65,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
66,10000,77,9923,0,0.0077000000,0.0077000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
67,10000,5,9995,0,0.0005000000,0.0005000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
68,10000,5,9995,0,0.0005000000,0.0005000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
69,10000,8,9992,0,0.0008000000,0.0008000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
70,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
71,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
72,10000,16,9984,0,0.0016000000,0.0016000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
73,10000,6,9994,0,0.0006000000,0.0006000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
74,10000,15,9985,0,0.0015000000,0.0015000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
75,10000,6,9994,0,0.0006000000,0.0006000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
76,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
77,10000,34,9966,0,0.0034000000,0.0034000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
78,10000,6,9994,0,0.0006000000,0.0006000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
79,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
80,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
81,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
82,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
83,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
